first_name,last_name,full_name,position,committee,date,work_place,role,raw_line
צחי,סעד,צחי סעד,"מנהל חטיבה כלכלית, משרד מבקר המדינה",10,2016-11-01,משרד מבקר המדינה,מנהל חטיבה כלכלית,"צחי סעד - מנהל חטיבה כלכלית, משרד מבקר המדינה"
בנימין,גולדמן,בנימין גולדמן,"מנהל אגף, משרד מבקר המדינה",10,2016-11-01,משרד מבקר המדינה,מנהל אגף,"בנימין גולדמן - מנהל אגף, משרד מבקר המדינה"
חנן,פוגל,חנן פוגל,"מנהל אגף, משרד מבקר המדינה",10,2016-11-01,משרד מבקר המדינה,מנהל אגף,"חנן פוגל - מנהל אגף, משרד מבקר המדינה"
שירה,לומר,שירה לומר,"מנהלת ביקורת אגף ט', משרד מבקר המדינה",10,2016-11-01,משרד מבקר המדינה,מנהלת ביקורת אגף ט',"שירה לומר - מנהלת ביקורת אגף ט', משרד מבקר המדינה"
אילנה,גלייטמן,אילנה גלייטמן,"מנהלת השירות לעיוור, משרד הרווחה והשירותים החברתיים",10,2016-11-01,משרד הרווחה והשירותים החברתיים,מנהלת השירות לעיוור,"אילנה גלייטמן - מנהלת השירות לעיוור, משרד הרווחה והשירותים החברתיים"
שושי,להט קרטר,שושי להט קרטר,"מפקחת אצרית, משרד הרווחה והשירותים החברתיים",10,2016-11-01,משרד הרווחה והשירותים החברתיים,מפקחת אצרית,"שושי להט קרטר - מפקחת אצרית, משרד הרווחה והשירותים החברתיים"
חני,פאר,חני פאר,"מפקחת ארצית, משרד הרווחה והשירותים החברתיים",10,2016-11-01,משרד הרווחה והשירותים החברתיים,מפקחת ארצית,"חני פאר - מפקחת ארצית, משרד הרווחה והשירותים החברתיים"
יעל,קורן הנדלסמן,יעל קורן הנדלסמן,"נציגת המטה לשילוב אנשים עם מוגבלות בעבודה, משרד הרווחה והשירותים החברתיים",10,2016-11-01,משרד הרווחה והשירותים החברתיים,נציגת המטה לשילוב אנשים עם מוגבלות בעבודה,"יעל קורן הנדלסמן - נציגת המטה לשילוב אנשים עם מוגבלות בעבודה, משרד הרווחה והשירותים החברתיים"
אסא,בן יוסף,אסא בן יוסף,"מנהלת תחום רווחה, מרכז השלטון המקומי",10,2016-11-01,מרכז השלטון המקומי,מנהלת תחום רווחה,"אסא בן יוסף - מנהלת תחום רווחה, מרכז השלטון המקומי"
קרן,יפה,קרן יפה,"מנהלת מרש""ל, מרכז רב שירותי לעיוורים, מרכז השלטון המקומי",10,2016-11-01,"מרכז רב שירותי לעיוורים, מרכז השלטון המקומי","מנהלת מרש""ל","קרן יפה - מנהלת מרש""ל, מרכז רב שירותי לעיוורים, מרכז השלטון המקומי"
